Animal,weight,strain,swv,clock,trial,weeks,Experiment,category,col1A1,IGF,IL1,CTGF,TGF,AKT3,AXL,aSMA_prot,perf
3029,.,30,.,12,1,1,30,2,3.862283298,3.475220498,5.018119942,.,.,1.74779227,3.191292218,3.022366057,1
3029,.,30,.,12,2,1,30,2,3.862283298,3.475220498,5.018119942,.,.,1.74779227,3.191292218,3.022366057,1
3029,.,30,.,12,3,1,30,2,3.862283298,3.475220498,5.018119942,.,.,1.74779227,3.191292218,3.022366057,1
3029,.,30,.,3,1,1,30,2,3.862283298,3.475220498,5.018119942,.,.,1.74779227,3.191292218,3.022366057,1
3029,.,30,.,3,2,1,30,2,3.862283298,3.475220498,5.018119942,.,.,1.74779227,3.191292218,3.022366057,1
3029,.,30,.,3,3,1,30,2,3.862283298,3.475220498,5.018119942,.,.,1.74779227,3.191292218,3.022366057,1
3029,.,40,.,9,1,1,30,2,3.862283298,3.475220498,5.018119942,.,.,1.74779227,3.191292218,3.022366057,1
3029,.,40,.,9,2,1,30,2,3.862283298,3.475220498,5.018119942,.,.,1.74779227,3.191292218,3.022366057,1
3029,.,40,.,9,3,1,30,2,3.862283298,3.475220498,5.018119942,.,.,1.74779227,3.191292218,3.022366057,1
3029,.,40,.,12,1,1,30,2,3.862283298,3.475220498,5.018119942,.,.,1.74779227,3.191292218,3.022366057,1
3029,.,40,.,12,2,1,30,2,3.862283298,3.475220498,5.018119942,.,.,1.74779227,3.191292218,3.022366057,1
3029,.,40,.,12,3,1,30,2,3.862283298,3.475220498,5.018119942,.,.,1.74779227,3.191292218,3.022366057,1
3029,.,40,.,3,1,1,30,2,3.862283298,3.475220498,5.018119942,.,.,1.74779227,3.191292218,3.022366057,1
3029,.,40,.,3,2,1,30,2,3.862283298,3.475220498,5.018119942,.,.,1.74779227,3.191292218,3.022366057,1
3029,.,40,.,3,3,1,30,2,3.862283298,3.475220498,5.018119942,.,.,1.74779227,3.191292218,3.022366057,1
3031,0.15,0,1.84,9,1,3,30,3,36.17799965,8.994976529,57.87048482,4.156005023,4.156005023,3.965152989,6.149186011,0.021172971,1
3031,0.15,0,1.6,9,2,3,30,3,36.17799965,8.994976529,57.87048482,4.156005023,4.156005023,3.965152989,6.149186011,0.021172971,1
3031,0.15,0,1.99,9,3,3,30,3,36.17799965,8.994976529,57.87048482,4.156005023,4.156005023,3.965152989,6.149186011,0.021172971,1
3031,0.15,0,1.74,12,1,3,30,3,36.17799965,8.994976529,57.87048482,4.156005023,4.156005023,3.965152989,6.149186011,0.021172971,1
3031,0.15,0,1.74,12,2,3,30,3,36.17799965,8.994976529,57.87048482,4.156005023,4.156005023,3.965152989,6.149186011,0.021172971,1
3031,0.15,0,1.8,12,3,3,30,3,36.17799965,8.994976529,57.87048482,4.156005023,4.156005023,3.965152989,6.149186011,0.021172971,1
3031,0.15,0,1.49,3,1,3,30,3,36.17799965,8.994976529,57.87048482,4.156005023,4.156005023,3.965152989,6.149186011,0.021172971,1
3031,0.15,0,1.61,3,2,3,30,3,36.17799965,8.994976529,57.87048482,4.156005023,4.156005023,3.965152989,6.149186011,0.021172971,1
3031,0.15,0,1.62,3,3,3,30,3,36.17799965,8.994976529,57.87048482,4.156005023,4.156005023,3.965152989,6.149186011,0.021172971,1
3031,0.15,10,0.91,9,1,3,30,3,36.17799965,8.994976529,57.87048482,4.156005023,4.156005023,3.965152989,6.149186011,0.021172971,1
3031,0.15,10,1.37,9,2,3,30,3,36.17799965,8.994976529,57.87048482,4.156005023,4.156005023,3.965152989,6.149186011,0.021172971,1
3031,0.15,10,1.3,9,3,3,30,3,36.17799965,8.994976529,57.87048482,4.156005023,4.156005023,3.965152989,6.149186011,0.021172971,1
3031,0.15,10,1.95,12,1,3,30,3,36.17799965,8.994976529,57.87048482,4.156005023,4.156005023,3.965152989,6.149186011,0.021172971,1
3031,0.15,10,2,12,2,3,30,3,36.17799965,8.994976529,57.87048482,4.156005023,4.156005023,3.965152989,6.149186011,0.021172971,1
3031,0.15,10,1.94,12,3,3,30,3,36.17799965,8.994976529,57.87048482,4.156005023,4.156005023,3.965152989,6.149186011,0.021172971,1
3031,0.15,10,2.22,3,1,3,30,3,36.17799965,8.994976529,57.87048482,4.156005023,4.156005023,3.965152989,6.149186011,0.021172971,1
3031,0.15,10,2.3,3,2,3,30,3,36.17799965,8.994976529,57.87048482,4.156005023,4.156005023,3.965152989,6.149186011,0.021172971,1
3031,0.15,10,2.48,3,3,3,30,3,36.17799965,8.994976529,57.87048482,4.156005023,4.156005023,3.965152989,6.149186011,0.021172971,1
3031,0.15,20,2.1,9,1,3,30,3,36.17799965,8.994976529,57.87048482,4.156005023,4.156005023,3.965152989,6.149186011,0.021172971,1
3031,0.15,20,2.22,9,2,3,30,3,36.17799965,8.994976529,57.87048482,4.156005023,4.156005023,3.965152989,6.149186011,0.021172971,1
3031,0.15,20,2.12,9,3,3,30,3,36.17799965,8.994976529,57.87048482,4.156005023,4.156005023,3.965152989,6.149186011,0.021172971,1
3031,0.15,20,2.1,12,1,3,30,3,36.17799965,8.994976529,57.87048482,4.156005023,4.156005023,3.965152989,6.149186011,0.021172971,1
3031,0.15,20,1.95,12,2,3,30,3,36.17799965,8.994976529,57.87048482,4.156005023,4.156005023,3.965152989,6.149186011,0.021172971,1
3031,0.15,20,1.93,12,3,3,30,3,36.17799965,8.994976529,57.87048482,4.156005023,4.156005023,3.965152989,6.149186011,0.021172971,1
3031,0.15,20,2.43,3,1,3,30,3,36.17799965,8.994976529,57.87048482,4.156005023,4.156005023,3.965152989,6.149186011,0.021172971,1
3031,0.15,20,2.19,3,2,3,30,3,36.17799965,8.994976529,57.87048482,4.156005023,4.156005023,3.965152989,6.149186011,0.021172971,1
3031,0.15,20,2.08,3,3,3,30,3,36.17799965,8.994976529,57.87048482,4.156005023,4.156005023,3.965152989,6.149186011,0.021172971,1
3031,0.15,30,1.46,9,1,3,30,3,36.17799965,8.994976529,57.87048482,4.156005023,4.156005023,3.965152989,6.149186011,0.021172971,1
3031,0.15,30,1.52,9,2,3,30,3,36.17799965,8.994976529,57.87048482,4.156005023,4.156005023,3.965152989,6.149186011,0.021172971,1
3031,0.15,30,1.35,9,3,3,30,3,36.17799965,8.994976529,57.87048482,4.156005023,4.156005023,3.965152989,6.149186011,0.021172971,1
3031,0.15,30,1.76,12,1,3,30,3,36.17799965,8.994976529,57.87048482,4.156005023,4.156005023,3.965152989,6.149186011,0.021172971,1
